repositorio,url,pull_requests_aceitas
resume/resume.github.com,https://github.com/resume/resume.github.com,84
jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,42
git/git,https://github.com/git/git,4
pathwaycom/pathway,https://github.com/pathwaycom/pathway,30
usememos/memos,https://github.com/usememos/memos,2080
topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,1723
youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,2311
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,45
withastro/astro,https://github.com/withastro/astro,9235
PlexPt/awesome-chatgpt-prompts-zh,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,33
sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,2
reduxjs/redux,https://github.com/reduxjs/redux,1767
FuelLabs/sway,https://github.com/FuelLabs/sway,3715
minio/minio,https://github.com/minio/minio,9882
2dust/v2rayNG,https://github.com/2dust/v2rayNG,670
lodash/lodash,https://github.com/lodash/lodash,644
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,367
upstash/context7,https://github.com/upstash/context7,483
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,452
pbakaus/impeccable,https://github.com/pbakaus/impeccable,270
tw93/Pake,https://github.com/tw93/Pake,162
ChrisTitusTech/winutil,https://github.com/ChrisTitusTech/winutil,1471
1c7/chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,744
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,485
xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome,49
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,5463
coollabsio/coolify,https://github.com/coollabsio/coolify,2798
atom/atom,https://github.com/atom/atom,3937
nuxt/nuxt,https://github.com/nuxt/nuxt,8313
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,55
microsoft/autogen,https://github.com/microsoft/autogen,2537
pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,2237
marktext/marktext,https://github.com/marktext/marktext,1371
adam-p/markdown-here,https://github.com/adam-p/markdown-here,27
sharkdp/bat,https://github.com/sharkdp/bat,1665
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,943
byoungd/up,https://github.com/byoungd/up,31
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,51
ghostty-org/ghostty,https://github.com/ghostty-org/ghostty,4490
jquery/jquery,https://github.com/jquery/jquery,902
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,290
meta-llama/llama,https://github.com/meta-llama/llama,54
starship/starship,https://github.com/starship/starship,3204
termux/termux-app,https://github.com/termux/termux-app,178
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,53
rclone/rclone,https://github.com/rclone/rclone,2490
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,2532
pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,50
penpot/penpot,https://github.com/penpot/penpot,6936
rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,1920
mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,471
rails/rails,https://github.com/rails/rails,26864
tiimgreen/github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,129
pmndrs/zustand,https://github.com/pmndrs/zustand,929
angular/angular.js,https://github.com/angular/angular.js,790
MemPalace/mempalace,https://github.com/MemPalace/mempalace,630
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,116
ultralytics/yolov5,https://github.com/ultralytics/yolov5,2320
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,846
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,302
go-gitea/gitea,https://github.com/go-gitea/gitea,19740
deepfakes/faceswap,https://github.com/deepfakes/faceswap,370
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,310
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,2128
karpathy/nanochat,https://github.com/karpathy/nanochat,84
wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,91
