repositorio,url,total_releases
animate-css/animate.css,https://github.com/animate-css/animate.css,22
junegunn/fzf,https://github.com/junegunn/fzf,84
fighting41love/funNLP,https://github.com/fighting41love/funNLP,0
vitejs/vite,https://github.com/vitejs/vite,713
tonsky/FiraCode,https://github.com/tonsky/FiraCode,29
lobehub/lobehub,https://github.com/lobehub/lobehub,1000
mlabonne/llm-course,https://github.com/mlabonne/llm-course,0
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,186
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,352
bytedance/deer-flow,https://github.com/bytedance/deer-flow,1
netdata/netdata,https://github.com/netdata/netdata,138
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,5
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,107
TapXWorld/ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,0
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,0
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,16
Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,8
doocs/advanced-java,https://github.com/doocs/advanced-java,1
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,0
coder/code-server,https://github.com/coder/code-server,253
ventoy/Ventoy,https://github.com/ventoy/Ventoy,115
paperclipai/paperclip,https://github.com/paperclipai/paperclip,20
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,20
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,1
opendatalab/MinerU,https://github.com/opendatalab/MinerU,186
elastic/elasticsearch,https://github.com/elastic/elasticsearch,260
Leonxlnx/taste-skill,https://github.com/Leonxlnx/taste-skill,0
tensorflow/models,https://github.com/tensorflow/models,51
dair-ai/Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,0
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,38
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,65
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,0
rtk-ai/rtk,https://github.com/rtk-ai/rtk,279
nestjs/nest,https://github.com/nestjs/nest,158
grafana/grafana,https://github.com/grafana/grafana,640
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,0
redis/redis,https://github.com/redis/redis,150
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,36
ocornut/imgui,https://github.com/ocornut/imgui,122
typicode/json-server,https://github.com/typicode/json-server,49
AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,142
openai/openai-cookbook,https://github.com/openai/openai-cookbook,0
obsproject/obs-studio,https://github.com/obsproject/obs-studio,247
PKUFlyingPig/cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,5
caddyserver/caddy,https://github.com/caddyserver/caddy,136
D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,52
shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,0
python/cpython,https://github.com/python/cpython,0
enaqx/awesome-react,https://github.com/enaqx/awesome-react,0
apache/superset,https://github.com/apache/superset,267
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,36
abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,0
